benchmark,scheme,total,correct,accuracy,hw_bits
eqntott,AT_AHRT_256_12_A2,50000,27612,55.22,11264
eqntott,AT_AHRT_512_12_A2,50000,27612,55.22,14336
eqntott,AT_HHRT_256_12_A2,50000,27612,55.22,11264
eqntott,AT_HHRT_512_12_A2,50000,27612,55.22,14336
eqntott,AT_IHRT_12_A2,50000,27612,55.22,8252
eqntott,AT_AHRT_512_12_LT,50000,26323,52.65,14336
eqntott,AT_AHRT_512_12_A3,50000,27612,55.22,14336
eqntott,AT_AHRT_512_12_A4,50000,27612,55.22,14336
eqntott,AT_AHRT_512_10_A2,50000,27048,54.10,7168
eqntott,AT_AHRT_512_8_A2,50000,26900,53.80,4608
eqntott,AT_AHRT_512_6_A2,50000,26635,53.27,3200
eqntott,AlwaysTaken,50000,29792,59.58,0
eqntott,Bimodal2Bit,50000,26773,53.55,0
espresso,AT_AHRT_256_12_A2,50000,26167,52.33,11264
espresso,AT_AHRT_512_12_A2,50000,26167,52.33,14336
espresso,AT_HHRT_256_12_A2,50000,26167,52.33,11264
espresso,AT_HHRT_512_12_A2,50000,26167,52.33,14336
espresso,AT_IHRT_12_A2,50000,26167,52.33,8252
espresso,AT_AHRT_512_12_LT,50000,25669,51.34,14336
espresso,AT_AHRT_512_12_A3,50000,26167,52.33,14336
espresso,AT_AHRT_512_12_A4,50000,26167,52.33,14336
espresso,AT_AHRT_512_10_A2,50000,25900,51.80,7168
espresso,AT_AHRT_512_8_A2,50000,25644,51.29,4608
espresso,AT_AHRT_512_6_A2,50000,25648,51.30,3200
espresso,AlwaysTaken,50000,27102,54.20,0
espresso,Bimodal2Bit,50000,26701,53.40,0
gcc,AT_AHRT_256_12_A2,80000,41677,52.10,11264
gcc,AT_AHRT_512_12_A2,80000,41677,52.10,14336
gcc,AT_HHRT_256_12_A2,80000,41282,51.60,11264
gcc,AT_HHRT_512_12_A2,80000,41282,51.60,14336
gcc,AT_IHRT_12_A2,80000,41677,52.10,8312
gcc,AT_AHRT_512_12_LT,80000,40799,51.00,14336
gcc,AT_AHRT_512_12_A3,80000,41677,52.10,14336
gcc,AT_AHRT_512_12_A4,80000,41677,52.10,14336
gcc,AT_AHRT_512_10_A2,80000,41101,51.38,7168
gcc,AT_AHRT_512_8_A2,80000,41250,51.56,4608
gcc,AT_AHRT_512_6_A2,80000,41185,51.48,3200
gcc,AlwaysTaken,80000,43937,54.92,0
gcc,Bimodal2Bit,80000,43053,53.82,0
li,AT_AHRT_256_12_A2,30000,14990,49.97,11264
li,AT_AHRT_512_12_A2,30000,14990,49.97,14336
li,AT_HHRT_256_12_A2,30000,14990,49.97,11264
li,AT_HHRT_512_12_A2,30000,14990,49.97,14336
li,AT_IHRT_12_A2,30000,14990,49.97,8252
li,AT_AHRT_512_12_LT,30000,15042,50.14,14336
li,AT_AHRT_512_12_A3,30000,14990,49.97,14336
li,AT_AHRT_512_12_A4,30000,14990,49.97,14336
li,AT_AHRT_512_10_A2,30000,14900,49.67,7168
li,AT_AHRT_512_8_A2,30000,15037,50.12,4608
li,AT_AHRT_512_6_A2,30000,14996,49.99,3200
li,AlwaysTaken,30000,15025,50.08,0
li,Bimodal2Bit,30000,15140,50.47,0
